AdId,State,Name,Description,ProgramId,AdType,HostedBy,Creative,IabAdUnit,ThirdPartyServableAdCreativeHeight,ThirdPartyServableAdCreativeWidth,Labels,AllowDeepLinking,AllowCustomPromoCode,CustomisationCharge,ImageAlternativeTag,LandingPage,Language,LimitedTimeStartDate,LimitedTimeEndDate,FallbackAd,GetHtmlCodeType,Season,TopSeller,LinkText,Metadata,TrackingLink,DealId,DealName,DealType,DealScope,DealDescription,DealProducts,DealCategories,DealDefaultDiscountCode,DealDiscountType,DealDiscountAmount,DealDiscountPercent,DealDiscountStartPercent,DealDiscountEndPercent,DealDiscountMaximumPercent,DealGift,DealRebate,DealMinimumPurchaseAmount,DealMaximumSavingsAmount,DealBogoPurchaseLimit,DealBogoBuyQty,DealBogoBuyType,DealBogoBuyName,DealBogoGetQty,DealBogoGetType,DealBogoGetName,DealBogoGetDiscountType,DealBogoGetDiscountAmount,DealBogoGetDiscountPercent,DealLandingPage,DealMetadata,DealAllowDeepLinking
2978605,ACTIVE,Reclaim your time 300X600 ,,29089,BANNER,IR,image (2).png,HALF_PAGE_AD,600,300,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978605/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978609,ACTIVE,Banner-120X600,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_120x600.jpg,SKYSCRAPER,600,120,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978609/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978610,ACTIVE,Banner 160 X 600,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_160x600.jpg,WIDE_SKYSCRAPER,600,160,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978610/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978611,ACTIVE,Work smarter- 300X250,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_300x250.jpg,MEDIUM_RECTANGLE,250,300,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978611/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978612,ACTIVE,Banner- Work smarter- 320X50,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_320x50.jpg,CUSTOM,50,320,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978612/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978613,ACTIVE,Banner- Work Smarter- 728X90,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_728x90.jpg,LEADERBOARD,90,728,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978613/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978614,ACTIVE,Work smarter banner- 970X250,,29089,BANNER,IR,25_ACG_GB_SMA_DDV_BOFU_CopilotGetPaid_P_970x250.jpg,CUSTOM,250,970,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978614/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978645,ACTIVE,Sage_Logo_Black,,29089,BANNER,IR,Sage_Logo_Black_RGB.png,CUSTOM,432,768,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978645/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978650,ACTIVE,Sage_Logo_Green,,29089,BANNER,IR,Sage_Logo_Brilliant_Green_RGB.png,CUSTOM,432,768,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978650/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978651,ACTIVE,Sage_Logo_White,,29089,BANNER,IR,Sage_Logo_White_RGB.png,CUSTOM,432,768,,true,false,GBP0.00,,https://www.sage.com/en-gb,ENGLISH,2025-05-15T00:00:00+01:00,,,HTML_AND_IFRAME,,false,,,https://sageuklimited.sjv.io/c/7134803/2978651/29089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
